Term,NES_ciao,FDR_q_val_ciao,NES_swiss_geriatric_healthy,FDR_q_val_swiss_geriatric_healthy
HALLMARK_ALLOGRAFT_REJECTION,1.3737213615264456,0.1769469247863717,1.3767139693875023,0.4122250597248538
HALLMARK_APICAL_JUNCTION,1.4893179011812105,0.08116945470507982,0.8353846219105895,0.9547305119211242
HALLMARK_APOPTOSIS,1.180519909910451,0.37926966446267385,1.2570293309588942,0.5267320207595354
HALLMARK_COAGULATION,2.1890542071642707,0.0,0.697002789863425,0.9873360842962953
HALLMARK_COMPLEMENT,1.1815113745894863,0.3965280976591662,0.6880703645412946,0.9113188895296153
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.2248853392357315,0.0,1.2936476647867723,0.4873548068209902
HALLMARK_ESTROGEN_RESPONSE_LATE,1.4017489621518426,0.1562182775933496,0.8230994347118568,0.9277535217068951
HALLMARK_HYPOXIA,1.093176817620025,0.4801366292628056,1.2135073086292443,0.6095112565167758
HALLMARK_IL2_STAT5_SIGNALING,1.0120581611902435,0.5732785144017276,0.9433977901617082,0.8351497119154111
HALLMARK_IL6_JAK_STAT3_SIGNALING,1.6162226083216078,0.0333342478531647,1.4154732130294603,0.45324985583655986
HALLMARK_INFLAMMATORY_RESPONSE,1.3227998106656025,0.21577546709100384,1.1946075795609619,0.5332674300464069
HALLMARK_INTERFERON_ALPHA_RESPONSE,1.281385312944176,0.2496510030937668,1.2958947137533083,0.5998022901392208
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.041006647339063,0.5755812230788225,1.1072492569928192,0.639344262295082
HALLMARK_KRAS_SIGNALING_DN,1.5328946241387904,0.06935718401053527,1.4901333242654478,0.43792734162616365
HALLMARK_KRAS_SIGNALING_UP,1.6513685173699277,0.02897198825756537,1.0166094687870073,0.8047497440363409
HALLMARK_MYOGENESIS,1.515053197805549,0.07111306208675135,0.9885943606939588,0.8245160227366339
HALLMARK_P53_PATHWAY,0.9627836171835207,0.6552414758079547,1.1555953289775005,0.6009391218387017
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.3242047119041649,0.2285071508918528,1.212410980945672,0.5381415273086745
HALLMARK_UV_RESPONSE_UP,0.9577279541257321,0.6445279705890422,0.9704166570379694,0.81697421533899
HALLMARK_XENOBIOTIC_METABOLISM,1.2894267292036208,0.2509328102279898,1.1478087215363748,0.5700334758741548
